"id","name","swings_competitive","percent_swings_competitive","contact","avg_bat_speed","hard_swing_rate","squared_up_per_bat_contact","squared_up_per_swing","blast_per_bat_contact","blast_per_swing","swing_length","swords","batter_run_value","whiffs","whiff_per_swing","batted_ball_events","batted_ball_event_per_swing"
666160,"Moniak, Mickey",1212,0.9004457652303121,899,"73.968818284",0.40346534653465355,0.3236929922135706,0.2400990099009901,0.1568409343715239,0.11633663366336634,"7.725001568",26,13.770721454660432,313,0.25825082508250824,460,0.3795379537953795
677800,"Abreu, Wilyer",1445,0.9065244667503137,1138,"73.957403218",0.3916955017301038,0.29173989455184535,0.22975778546712802,0.15729349736379614,0.12387543252595155,"7.137182547",22,-23.5371747032749,307,0.2124567474048443,526,0.36401384083044985
664040,"Lowe, Brandon",1782,0.9031931069437404,1244,"73.783685859",0.4051627384960719,0.31270096463022506,0.21829405162738497,0.15916398713826366,0.1111111111111111,"7.128926554",60,-12.646333338851772,538,0.30190796857463525,582,0.3265993265993266
671732,"Butler, Lawrence",1464,0.9025893958076449,1025,"73.73272959",0.3831967213114754,0.2926829268292683,0.20491803278688525,0.16390243902439025,0.11475409836065574,"7.067658361",35,-48.96796521271578,439,0.2998633879781421,492,0.3360655737704918
621043,"Correa, Carlos",1159,0.9097331240188383,914,"73.728383391",0.3805004314063848,0.3085339168490153,0.24331320103537532,0.17943107221006566,0.14150129421915444,"7.201630112",16,-16.203344707891198,245,0.21138912855910266,467,0.4029335634167386
650490,"Díaz, Yandy",1585,0.9072696050372067,1339,"73.666529457",0.37097791798107244,0.3525018670649739,0.29779179810725553,0.22778192681105303,0.19242902208201892,"7.618057363",18,-3.0652242471238287,246,0.15520504731861198,708,0.4466876971608833
667670,"Rooker, Brent",1435,0.9030837004405287,1006,"73.663218418",0.37003484320557484,0.3250497017892644,0.22787456445993032,0.1749502982107356,0.12264808362369338,"7.100725157",52,-23.263480242073378,429,0.29895470383275263,538,0.3749128919860627
624424,"Conforto, Michael",1072,0.9123404255319149,812,"73.639084002",0.394589552238806,0.2857142857142857,0.21641791044776118,0.14532019704433496,0.11007462686567164,"7.294932519",12,-35.34245786108955,260,0.24253731343283583,367,0.3423507462686567
665862,"Chisholm Jr., Jazz",1457,0.904407200496586,1019,"73.591331119",0.37542896362388467,0.3120706575073602,0.2182566918325326,0.155053974484789,0.10844200411805079,"7.847725553",20,-24.89483359666647,438,0.30061770761839396,477,0.3273850377487989
671218,"Ramos, Heliot",1559,0.9048171793383634,1176,"73.49982338",0.3867864015394483,0.32482993197278914,0.2450288646568313,0.1760204081632653,0.13277742142398974,"6.844641597",30,-37.08848242415549,383,0.2456703014753047,574,0.36818473380372035
691718,"Crow-Armstrong, Pete",1937,0.9034514925373134,1449,"73.49439935",0.3680949922560661,0.2912353347135956,0.21786267423851316,0.1538992408557626,0.11512648425400103,"7.29315586",56,-2.1571312636915105,488,0.25193598347960766,649,0.33505420753742904
664056,"Bader, Harrison",1037,0.9064685314685315,746,"73.402278014",0.37319189971070393,0.289544235924933,0.20829315332690454,0.1447721179624665,0.10414657666345227,"7.166804947",24,-13.098174777591774,291,0.2806171648987464,368,0.3548698167791707
543807,"Springer, George",1410,0.9021113243761996,1081,"73.395579894",0.36737588652482284,0.3080481036077706,0.23617021276595745,0.16096207215541167,0.12340425531914893,"7.482718723",30,-4.344338026403857,329,0.23333333333333334,531,0.37659574468085105
673548,"Suzuki, Seiya",1524,0.8996458087367178,1192,"73.336109075",0.3641732283464566,0.3162751677852349,0.2473753280839895,0.17701342281879195,0.1384514435695538,"7.234135971",40,-5.5421114696673355,332,0.2178477690288714,601,0.3943569553805774
592885,"Yelich, Christian",1477,0.9022602321319487,1051,"73.304191564",0.34326337169939053,0.3120837297811608,0.22207176709546378,0.16936251189343482,0.12051455653351388,"7.547465694",29,-27.3749750106797,426,0.28842247799593773,524,0.35477318889641163
661388,"Contreras, William",1590,0.9013605442176871,1269,"73.243950887",0.35094339622641496,0.37825059101654845,0.3018867924528302,0.19227738376674547,0.15345911949685534,"7.136485642",38,-28.436339213628923,321,0.2018867924528302,695,0.4371069182389937
687597,"Beck, Jordan",1099,0.9075144508670521,765,"73.237000764",0.3330300272975432,0.26143790849673204,0.18198362147406733,0.13071895424836602,0.09099181073703366,"7.739711865",10,-15.741858512232048,334,0.3039126478616925,370,0.33666969972702454
669224,"Wells, Austin",1179,0.9020657995409335,874,"73.215111561",0.2943172179813402,0.2940503432494279,0.2179813401187447,0.15675057208237986,0.11620016963528414,"7.614087167",24,-35.98641836831435,305,0.2586938083121289,399,0.3384223918575064
663993,"Lowe, Nathaniel",1422,0.9034307496823379,1111,"73.17853462",0.29465541490857955,0.25742574257425743,0.2011251758087201,0.1332133213321332,0.10407876230661041,"7.310683783",37,-20.504915172037386,311,0.21870604781997188,484,0.340365682137834
542303,"Ozuna, Marcell",1324,0.9025221540558964,962,"73.12159642",0.33761329305135956,0.3097713097713098,0.22507552870090636,0.14345114345114346,0.1042296072507553,"7.325675755",6,-34.3388474685841,362,0.27341389728096677,447,0.3376132930513595
